"gss_cp;""gss_insee"";""gss_ville"";""str_nom_commercial"";""sregion_lib"";""scentre_lib"";""gri_nom"""
"02360;""02634"";""RAILLIMONT"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02360;""02666"";""ROZOY SUR SERRE"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02410;""02680"";""ST GOBAIN"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02410;""02685"";""ST NICOLAS AUX BOIS"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02410;""02707"";""SEPTVAUX"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02700;""02262"";""DEUILLET"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02800;""02016"";""ANDELAIN"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02700;""02716"";""SERVAIS"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02340;""02723"";""SOIZE"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02600;""02734"";""TAILLEFONTAINE"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02600;""02528"";""MORTEFONTAINE"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02600;""02644"";""RETHEUIL"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02360;""02181"";""CHERY LES ROZOY"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02140;""02256"";""DAGNY LAMBERCY"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02340;""02641"";""RENNEVAL"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02340;""02819"";""VINCY REUIL ET MAGNY"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02360;""02266"";""DOLIGNON"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
